smc_requirement_id,program,semester,smc_skill_name,skills_table_name,category,min_attempts,is_platinum,candidate_canonical_id,candidate_canonical_name,candidate_skill_category,candidate_program_fit,similarity,confidence,operator_decision,operator_notes
9a05edf5-aefc-4e54-9892-1352cecd586e,AEMT,1,Perform PPV with BVM,Perform PPV with BVM,Airway,10,false,163aa19c-5a39-4e22-85a6-3ab43e270ff2,CPR — Pediatric,cardiac,fits,0.200,no_match,,
feec5e65-a23a-4ced-8880-7ce4da3c1eb3,AEMT,1,Venous blood sampling,Venous Blood Sampling,Medication,4,false,967341d2-0104-4260-b321-b55ee0c0bde5,Endotracheal Suctioning,airway,fits,0.304,no_match,,
9bcdae83-d9d3-4a1b-b36c-72d0dcb99164,EMT,1,Automated blood pressure,Automated blood pressure,Assessment,1,false,8c251d92-8153-4d0e-84dd-7f7dccd0af0d,Needle Decompression,trauma,progmismatch:paramedic,0.333,no_match,,
a1fc7a05-8b38-4aa7-ae2a-f8605955a150,EMT,1,Bleeding control and shock management (EMT),Bleeding control and shock management (EMT),BLS,1,false,5b74efdf-8fff-4b5c-9766-765d16a18f10,Patient Lifting and Movement,movement,fits,0.341,no_match,,
9c7c34ac-0595-45ec-bee0-3c715b1a7fc3,EMT,1,Blood pressure by auscultation,Blood pressure by auscultation,Assessment,1,false,0a535e33-93a2-453c-b125-added71e4392,12-Lead ECG Acquisition,assessment,progmismatch:aemt+paramedic,0.333,no_match,,
32b6ba7c-93d3-465c-8d24-0ae6a551b868,EMT,1,Blood pressure by palpation,Blood pressure by palpation,Assessment,1,false,92be4c98-a1ba-4f4e-894f-abd5d08986b9,AED / Defibrillation,cardiac,fits,0.370,no_match,,
b225e6fe-0832-403c-8594-f101e4828e4e,EMT,1,Cardiac Arrest Management / AED (EMT),Cardiac Arrest Management / AED (EMT),Cardiac,1,false,738bfa9d-9e20-46b7-b531-a1e3f242d87b,Patient Assessment — Medical,assessment,fits,0.364,no_match,,
5964da37-5b12-4297-9d9e-13efc7088d3c,EMT,1,CPR — infant (one-rescuer),CPR — infant (one-rescuer),Cardiac,1,false,5acadc9b-4c8c-4117-b9ac-87fdca46947a,IV Infusion Setup,medication,progmismatch:aemt+paramedic,0.409,no_match,,
4a9b9f2b-aa72-4fbb-8355-26dc76ff02f2,EMT,1,Humidified oxygen delivery,Humidified oxygen delivery,Airway,1,false,0e4493e7-59f8-441f-8619-089d9d328ad6,Inhaled Medication (MDI / Nebulizer),medication,progmismatch:aemt+paramedic,0.313,no_match,,
2b6b7193-cba0-4616-a509-cdea4bd3054d,EMT,1,Level of consciousness (LOC),Level of consciousness (LOC),Assessment,1,false,8c251d92-8153-4d0e-84dd-7f7dccd0af0d,Needle Decompression,trauma,progmismatch:paramedic,0.346,no_match,,
